word,meaning
abound,be present in large quantities
amorphous,lacking structure; unclear
austere,"1. (of a person) strict and stern in character
2. (of living conditions) lacking luxury; extremely harsh"
belie,give a false impression of; mask
capricious,having varying moods; fickle
cerebral,"1. related to the brain
2. intellectual; focused on learning rather than emotion"
congenial,"1. (of a person) likable and friendly, often due to shared interests
2. (of a thing) enjoyable because it aligns with one's tendencies"
conspicuous,easily noticed; obvious
cursory,lacking effort; without care
daunting,scary or frightening; (of a task) seeming impossible
deify,look up to someone or something as a god
didactic,"meant for teaching; educational, sometimes in a condescending manner"
disseminate,distribute or circulate broadly
feasible,likely to be achieved; practical
flout,break a rule without guilt
homogeneous,composed of similar parts; alike
humdrum,boring; unlikely to excite
insipid,without flavor; lacking energy
loquacious,likely to talk a lot; wordy
misanthropic,having a distaste for humans and society
misnomer,a misleading or inaccurate name
negligent,lacking care or attention
obsequious,excessively submissive to authority
placate,decrease someone's anger or other negative emotion
proclivity,a fondness or liking for something
puerile,immature and childish
quixotic,excessively visionary; unfeasible
spendthrift,someone who spends money recklessly
taciturn,of few words; speaking little
wary,exercising caution; careful
adulterate,damage the quality of; corrupt
advocate,"support; be in favor of
someone who supports a cause, organization, or person"
aggrandize,enhance one's power or standing
alacrity,eagerness to do something
ambivalent,having conflicting emotions; unsure
ameliorate,improve a bad feeling or bad situation
amenable,(of a person) receptive to change; open (of a thing) responsive to
anachronistic,of the wrong time or era
audacious,"1. bold; unafraid of risks
2. rude; exhibiting disrespect"
avaricious,greedy; always wanting more
banal,unoriginal and dull; lacking creativity
benign,"1. harmless; having little effect
2. (of a person's character) kind hearted; nice"
brazen,shameless and excessively forward
calumny,slander and defamation
candid,honest; without deception
castigate,scold someone harshly
caustic,"1. (of speech) hostile and bitter
2. (of a chemical) corrosive; acidic"
construe,understand something subjectively
contrite,feeling regretful or guilty
convoluted,difficult to understand or follow.
covet,strongly desire; yearn for
craven,lacking bravery; weak-kneed
decorum,politeness and proper behavior
deft,highly proficient; skilled
demur,"1. hesitate or object; express doubt
2. hesitation"
derivative,based on someone else's work (often used in a negative sense)
desiccate,dry out; remove all moisture
diatribe,an angry rant; verbal abuse
incredulous,doubtful and disbelieving
ingenuous,naive and lacking experience
abate,decrease in intensity; lessen
abjure,strongly reject (an idea); forgo
anomalous,differing from what is normal; atypical
antipathy,profound hostility or hatred
arcane,comprehended by very few people; secret
arduous,very challenging; needing great effort
artless,1. naive; inexperienced 2. plain and simple 3. lacking skill
ascetic,"1. (of a lifestyle) very strict and lacking luxury
2. someone who adopts an ascetic lifestyle"
assuage,"1. decrease a negative feeling
2. fulfill a certain desire"
betray,unknowingly disclose or reveal
bucolic,associated with tranquil rural life
burgeon,quickly increase or grow; skyrocket
cacophonous,extremely noisy; grating
canonize,treat like a god; deeply venerate
censure,strongly criticize or disapprove
chicanery,using deception to attain a certain goal
coalesce,bring elements together; unite
cogent,persuasive and clear; compelling
compelling,"1. persuasive and clear
2. attracting interest; fascinating"
contend,"1. argue a certain point of view; assert
2. compete
3. struggle or attempt to overcome something"
copious,existing in great supply; abundant
cosmopolitan,"1. (of a city) highly diverse
2. (of a person) sophisticated and urbane"
deference,high regard and respect; esteem
desultory,unplanned; without enthusiasm
diffident,reserved or shy; without confidence
dilatory,slow and unhurried; meant to stall
equivocate,speak evasively; avoid taking a stance
polarize,separate into two opposing groups
prodigal,"1. carelessly wasteful; extravagant
2. a person who is excessively wasteful"
verbose,excessively talkative; wordy
abstain,avoid taking part in something
approbation,appreciation toward someone
cherish,greatly love or protect something
corroborate,lend support to; bolster
disparate,different or contrasting
emulate,imitate someone or something
enervate,sap the energy out of someone; fatigue
ephemeral,extremely short lasting
