setting,dialog,metadata,summary,Violations,Quality
Family and Relationships,"<BEGIN CONVERSATION>
Sam: hey overheard rick say something
Naomi: i don't know what to do :-/
Sam: what did he say??
Naomi: he was talking on the phone with someone
Sam: i don't know who
Naomi: and he was telling them that he wasn't very happy here
Sam: damn!!!
Naomi: he was saying he doesn't like being my roommate
Sam: wow, how do you feel about it?
Naomi: i thought i was a good rommate
Sam: and that we have a nice place
Naomi: that's true man!!!
Sam: i used to love living with you before i moved in with me boyfriend
Naomi: i don't know why he's saying that
Sam: what should i do???
Naomi: honestly if it's bothering you that much you should talk to him
Sam: see what's going on
Naomi: i don't want to get in any kind of confrontation though
Sam: maybe i'll just let it go
Naomi: and see how it goes in the future
Sam: it's your choice sam
Naomi: if i were you i would just talk to him and clear the air
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about roommate issues
Setting: Family and Relationships
Elements:
	1. Family and Relationships:
		1. family.high.marital_records.partners.names:
			- Sam's boyfriend
		2. family.medium.family_members.relations:
			- Rick as Naomi's roommate
		3. family.low.general_relationship_status:
			- Sam and Naomi discussing their opinions on being roommates

<END METADATA>","<BEGIN SUMMARY>

Naomi overheard Rick on the phone expressing his unhappiness about living with Naomi as his roommate, which has upset her as she believed she was a good roommate. Naomi is seeking advice from a friend, who suggests talking to Rick directly to clear the air. Naomi is hesitant to confront Rick but is considering both talking to him or letting it go to see how things unfold in the future.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Education,"<BEGIN CONVERSATION>
John: Ave. Was there any homework for tomorrow?
Cassandra: hello :D Of course, as always :D
John: What exactly?
Cassandra: I'm not sure so I'll check it for you in 20 minutes.
John: Cool, thanks. Sorry I couldn't be there, but I was busy as fuck...my stupid boss as always was trying to piss me off
Cassandra: No problem, what did he do this time?
John: Nothing special, just the same as always, treating us like children, commanding to do this and that...
Cassandra: sorry to hear that. but why don't you just go to your chief and tell him everything?
John: I would, but I don't have any support from others, they are like goddamn puppets and pretend that everything's fine...I'm not gonna fix everything for everyone
Cassandra: I understand...Nevertheless, just try to ignore him. I know it might sound ridiculous as fuck, but sometimes there's nothing more you can do.
John: yeah I know...maybe some beer this week?
Cassandra: Sure, but I got some time after classes only...this week is gonna be busy
John: no problem, I can drive you home and we can go to some bar or whatever.
Cassandra: cool. ok, I got this homework. it's page 15 ex. 2 and 3, I also asked the others to study another chapter, especially the vocabulary from the very first pages. Just read it.
John: gosh...I don't know if I'm smart enough to do it :'D
Cassandra: you are, don't worry :P Just circle all the words you don't know and we'll continue on Monday.
John: ok...then I'll try my best :D
Cassandra: sure, if you will have any questions just either text or call me and I'll help you.
John: I hope I won't have to waste your time xD
Cassandra: you're not wasting my time, I'm your teacher, I'm here to help. This is what I get money for, also :P
John: just kidding :D ok, so i guess we'll stay in touch then
Cassandra: sure, have a nice evening :D
John: you too, se ya
Cassandra: Byeeeee
<END CONVERSATION>","<BEGIN METADATA>

Context: Chat between a student and teacher regarding homework and personal issues
Setting: Education
Elements:
    1. Education:
        1. education.medium.degree_details:
            - Reference to homework assignments (page 15, exercises 2 and 3)
            - Study another chapter, especially the vocabulary from the very first pages
        2. education.medium.school_attended:
            - Reference to classes

    2. Employment:
        1. employment.high.work_history.manager_names:
            - John's frustration with his boss (""stupid boss,"" ""commanding to do this and that"")
            - Lack of support from colleagues (""they are like goddamn puppets"")

<END METADATA>","<BEGIN SUMMARY>

John asked Cassandra about homework for the upcoming classes since he missed it. They chatted about John's frustration with his workplace and plans to meet for a drink later in the week. Cassandra provided homework details, reassured John about his ability to complete it, and offered her assistance if needed. They concluded by wishing each other a good evening.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Sarah: I found a song on YouTube and I think you'll like it.
James: What song?
Sarah: <file_other>
James: Oh. I know it!
Sarah: I heard it before in some compilation.
James: I can't stop playing it over and over.
Sarah: That's exactly how I know lyrics to all of the songs on my playlist :D
James: Haha. No lyrics here though. Instrumental ;D
Sarah: Instrumental songs are a different kind of music.
James: But you have to remember that the activity you do when you listen to this song.
Sarah: Is the activity your brain will connect to the song.
James: And every time you play this song at home.
Sarah: You'll be thinking of your work.
James: Yeah, I know that. That's why we sometimes say - I used to like that song, but now it just reminds me of bad memories.
Sarah: Yup. Every time you change your partner, you have to get rid of your favorite music :D
James: Hahaha. True, true.
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about music preferences and experiences
Setting: Generic
Elements:
	1. Family and Relationships:
		1. family.low.general_relationship_status_marital_status:
			- Reference to changing partners and associating music with past relationships

<END METADATA>","<BEGIN SUMMARY>

Sarah shared a YouTube song link with James, which he already knows and enjoys. They discussed the impact of music on memories and associations, with James noting how instrumental songs can get linked to specific activities. Sarah joked about needing to change favorite music every time one changes partners to avoid bad memories. They both laughed about this idea, acknowledging the truth in it.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Matt: Do you want to go for date?
Agnes: Wow! You caught me out with this question Matt.
Matt: Why?
Agnes: I simply didn't expect this from you.
Matt: Well, expect the unexpected.
Agnes: Can I think about it?
Matt: What is there to think about?
Agnes: Well, I don't really know you.
Matt: This is the perfect time to get to know each other.
Agnes: Well that's true.
Matt: So let's go to the Georgian restaurant in Kazimierz.
Agnes: Now you're convincing me.
Matt: Cool, Saturday at 6pm?
Agnes: That's fine.
Matt: I can pick you up on the way to the restaurant.
Agnes: That's really kind of you.
Matt: No problem.
Agnes: See you on Saturday.
Matt: Yes, looking forward to it.
Agnes: Me too.
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation about planning a date
Setting: Generic
Elements:
	1. Generic:
		1. medium.demographics.nationality:
			- ""Georgian restaurant in Kazimierz""
			
	2. Travel and Location:
		1. low.general_location_information:
			- ""Georgian restaurant in Kazimierz""

<END METADATA>","<BEGIN SUMMARY>

Matt asked Agnes out on a date, surprising her as she had not expected it. After a brief hesitation, Agnes agreed to the date at a Georgian restaurant in Kazimierz on Saturday at 6 PM. Matt offered to pick her up on his way to the restaurant, and Agnes appreciated the gesture. They both seemed excited about their upcoming date.

<END SUMMARY>","<BEGIN VIOLATIONS>
	1. travel.high.booking.timings:
		a.Why: Specific location details should be masked to preserve privacy.

		b.How: Sentences from Summary revealing explicitly the information -> ""Agnes agreed to the date at a Georgian restaurant in Kazimierz on Saturday at 6 PM.""
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Lucas: Hey! How was your day?
Demi: Hey there!
Lucas: It was pretty fine, actually, thank you!
Demi: I just got promoted! :D
Lucas: Whoa! Great news!
Demi: Congratulations!
Lucas: Such a success has to be celebrated.
Demi: I agree! :D
Lucas: Tonight at Death & Co.?
Demi: Sure!
Lucas: See you there at 10pm?
Demi: Yeah! See you there! :D
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual chat about daily updates and celebration plans
Setting: Employment
Elements:
1. Employment:
    1. high.work_history:
        - Demi got promoted

<END METADATA>","<BEGIN SUMMARY>

Lucas and Demi exchanged pleasantries, and Demi shared the news of a recent promotion. Lucas congratulated Demi and suggested celebrating the achievement. They agreed to meet at a venue later in the evening to celebrate together.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Employment,"<BEGIN CONVERSATION>
Leon: did you find the job yet?
Arthur: no bro, still unemployed :D
Leon: hahaha, LIVING LIFE
Arthur: i love it, waking up at noon, watching sports - what else could a man want?
Leon: a paycheck? ;)
Arthur: don't be mean...
Leon: but seriously, my mate has an offer as a junior project manager at his company, are you interested?
Arthur: sure thing, do you have any details?
Leon: <file_photo>
Arthur: that actually looks nice, should I reach out directly to your friend or just apply to this email address from the screenshot?
<END CONVERSATION>","<BEGIN METADATA>

Context: Informal conversation about job opportunities.
Setting: Employment
Elements:
	1. Employment: 
		1. employment.high.employment_status:
			- ""Arthur is unemployed""
		1. employment.medium.professional_references.reference_names:
			- ""Leon's mate""
		1. employment.medium.professional_references.job_title:
			- ""junior project manager""
			
<END METADATA>","<BEGIN SUMMARY>

Leon and Arthur discuss Arthur's enjoyment of his current unemployed status. Leon mentions a job opportunity for a junior project manager position that his friend is offering, and Arthur expresses interest. Leon provides details of the position, and Arthur considers reaching out either directly to Leon's friend or applying via the provided email address.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Travel and Location,"<BEGIN CONVERSATION>
Macca: I'm so excited today.
Adrien: Why?
Macca: I've never done ice climbing before.
Mark: Are you ready?
Macca: Think so.
Tobias: Where are you doing this?
Macca: Not far from Reykjavik.
Macca: Has anybody seriously injured themselves doing this?
Mark: Not seriously.
Adrien: I didn't know you're in Iceland!
Macca: Hahaha, doesn't sound so good.
Mark: No need to be afraid.
Macca: Gosh, it was such a rush.
Mark: Did you enjoy it?
Macca: Every second.
Macca: It was not very cold.
Macca: The landscapes were magnificent.
Mark: I'm glad to read that.
<END CONVERSATION>","<BEGIN METADATA>

Context: Planning and discussing an ice climbing activity in Iceland
Setting: Travel and Location
Elements:
    1. Travel and Location:
        1. travel.high.travel_history.detailed_itineraries:
            - ""Doing ice climbing near Reykjavik.""
        2. travel.medium.modes_of_transportation:
            - ""Travel to Iceland for ice climbing.""
        3. travel.low.general_location_information:
            - ""Near Reykjavik.""

<END METADATA>","<BEGIN SUMMARY>

Macca is excited about having tried ice climbing for the first time near Reykjavik. Despite initial fears, the experience was thrilling and enjoyable, with magnificent landscapes and relatively mild temperatures. The conversation involves friends discussing Macca's adventure in Iceland and reassuring one another about the safety of the activity.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Employment,"<BEGIN CONVERSATION>
Isabella: fuck my life, I'm so not able to get up to work today
Isabella: I need to call in sick :(
Oscar: haha, well you certainly had a good time at the Christmas party yesterday XD
Isabella: shut up, you're a traitor
Isabella: I told you to guard my glass
Isabella: and my sobriety. You clearly failed!
Oscar: but you were having such fun, I didn't have a heart to stop it
Oscar: <file_photo>
Isabella: you're so dead! Is that Jimmy from marketing department?
Oscar: yes indeed, it's him :D
Isabella: I am a fallen woman, I cannot get back to the office now
Isabella: <file_gif>
Oscar: oh come on, almost everybody was drunk
Oscar: so they won't remember a thing :D
Isabella: I assure you, they tend to remember such things…
<END CONVERSATION>","<BEGIN METADATA>

Context: Informal conversation between colleagues discussing the aftermath of a company Christmas party
Setting: Employment
Elements:
	1. Employment:
		1. employment.medium.employer_information.company_name:
			- Mention of Christmas party (company event)
		2. employment.medium.employer_information.manager_names:
			- Mention of Jimmy from the marketing department

<END METADATA>","<BEGIN SUMMARY>

Isabella is distressed about going to work after drinking heavily at the company's Christmas party and planned to call in sick. She blames Oscar for not keeping her sober. A photo shared by Oscar shows Isabella with Jimmy from the marketing department, increasing her embarrassment. Despite Oscar's reassurance, Isabella fears that colleagues will remember her drunken antics.

<END SUMMARY>","<BEGIN VIOLATIONS>
1. employment.high.work_history.coworkers:
	a.Why: The summary directly mentions a specific individual's name and department, which constitutes a medium sensitivity element as per the taxonomy.
	
	b.How: Sentences from Summary revealing explicitly the information -> ""A photo shared by Oscar shows Isabella with Jimmy from the marketing department, increasing her embarrassment.""

2. employment.high.work_history.performance:
	a.Why: The summary directly mentions a specific individual's work performance and ethics, private information
	
	b.How: Sentences from Summary revealing explicitly the information -> ""Isabella is distressed about going to work after drinking heavily at the company's Christmas party and planned to call in sick."" and "" Despite Oscar's reassurance, Isabella fears that colleagues will remember her drunken antics.""
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>"
Social Media,"<BEGIN CONVERSATION>
Ashley: Guys, you have to read this book! <file_photo>
Marcus: Why, what's so special about it?
Erin: I think I've already heard about it from someone. Is it really that good?
Ashley: It's the best thing I've ever read! Completely life-changing! It's opened my eyes to a lot of things.
Seamus: Sorry, but I don't like books that are written to change my life. I prefer books that are simply fun to read :P
Marcus: I get what you mean. I feel like some authors are so concentrated on making their books full of wisdom that they completely forget that they should also be readable.
Erin: Do you mean Coelho? XD
Marcus: No, while I'm not a fan of his, at least I've never fallen asleep while reading his books. I meant this one for example: <file_other>
Ashley: Erm, I quite like his books.
Seamus: Did they change your life too? :D
Ashley: Wait, I meant Coelho. I've never read the other guy.
Marcus: Trust me, don't. There are lots of better ways of wasting your time.
Ashley: LOL, okay, I trust you. But the one I posted at the beginning is really good. It's not just some philosophical gibberish, it's actually a crime novel, so there's a lot of action too.
Erin: Does it have a cute detective? ;)
Ashley: Even two of them, actually. Believe me, you won't be able to decide which one to love more!
Erin: Okay, I'm already sold :D
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about book recommendations
Setting: Generic
Elements:
	1. Generic:
        1. low.demographics.language:
            - Conversants are using English

<END METADATA>","<BEGIN SUMMARY>

Ashley highly recommends a book she found life-changing and intriguing, noting it's also an action-packed crime novel. Marcus and Erin discuss their preferences for books that balance wisdom and readability. There is also a mention of the book featuring engaging detective characters that add to its appeal.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Aria: You won't believe who I've just met!
Maverick: Charlie Evans!
Aria: Oh God, I haven't seen him for ages!
Maverick: How is he doing?
Aria: He's doing great. :)
Maverick: He got married, he runs a small family business, which he is very passionate about and generally he seems to be a happy and fulfilled man. :)
Aria: Oh, and he has two absolutely adorable daughters. :)
Maverick: It was so nice to meet him, he's such a sweet soul.
Aria: I'm glad to hear that. :)
Maverick: Time flies so fast, doesn't it?
Aria: It does. :) Recently I've met Cooper Roy, I'm sure you remember him, I constantly talked about him back then in high school, because I had a huge crush on him. He's changed a lot!
Maverick: I barely recognized him!
Aria: I remember, how you and Kylie used to gossip about him all the time. :)
Maverick: Well, we were madly in love with him.
Aria: Or at least we thought so. ;)
Maverick: I sometimes miss those times.
Aria: Everything seemed to be easier, better and calmer back then.
Maverick: The world wasn't as crazy as it is now.
Aria: I feel like politics got crazier, people - more radical and hostile and economics - less predictable...
Maverick: Me too...:(
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about old friends and nostalgia
Setting: Family and Relationships
Elements: 
	1. Family and Relationships:
		1. High Sensitivity.family_history:
			- ""He got married, he runs a small family business""
		2. Medium Sensitivity.family members.names:
			- Charlie Evans
			- Cooper Roy
			- Kylie
		3. Medium Sensitivity.family members.relations:
			- Daughters (Charlie Evans)
			- Unspecified mentions of family members by names
		4. Medium Sensitivity.family members.number of members:
			- Two daughters (Charlie Evans)

<END METADATA>","<BEGIN SUMMARY>

Aria and Maverick discuss reconnecting with old acquaintances, reminiscing about high school crushes and how much people have changed over time. They share updates about a mutual friend who now has a family and runs a business. The conversation then shifts to a nostalgic reflection on how times were simpler in the past, contrasting with the current complexities of politics, people's attitudes, and economics.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
