setting,dialog,metadata,summary,Violations,Quality,Corrected_Summary
Healthcare Settings,"<BEGIN CONVERSATION>
Dr. Peters: Hello Mrs. Parker, how have you been?
Mrs. Parker: Hello Dr. Peters. Just fine thank you. Ricky and I are here for his vaccines.
Dr. Peters: Very well. Let's see, according to his vaccination record, Ricky has received his Polio, Tetanus and Hepatitis B shots. He is 14 months old, so he is due for Hepatitis A, Chickenpox and Measles shots.
Mrs. Parker: What about Rubella and Mumps?
Dr. Peters: Well, I can only give him these for now, and after a couple of weeks I can administer the rest.
Mrs. Parker: OK, great. Doctor, I think I also may need a Tetanus booster. Last time I got it was maybe fifteen years ago!
<END CONVERSATION>","<BEGIN METADATA> 
 
Context: Mrs. Parker's visit to Dr. Peters for her son Ricky's vaccinations 
Setting: Healthcare Settings 
Elements: 
   1. Healthcare Settings:
      1. healthcare.high.medical_history:
         - Ricky's vaccination record (Polio, Tetanus, Hepatitis B, Hepatitis A, Chickenpox, Measles due)
      2. healthcare.high.medical_history.diseases:
         - Ricky's upcoming vaccinations for Hepatitis A, Chickenpox, Measles
      3. healthcare.low.general_health_status:
         - Mrs. Parker mentioning she may need a Tetanus booster 

<END METADATA>","<BEGIN SUMMARY>

Mrs. Parker brought her 14-month-old son, Ricky, to Dr. Peters for his scheduled vaccines. Ricky has already received his Polio, Tetanus, and Hepatitis B shots and is now due for Hepatitis A, Chickenpox, and Measles shots, with Rubella and Mumps to follow in a couple of weeks. Mrs. Parker also mentioned that she may need a Tetanus booster as her last shot was taken around fifteen years ago.

<END SUMMARY>","<BEGIN VIOLATIONS>
1. healthcare.high.medical_history:
   a.Why: The summary explicitly lists Ricky's vaccination records, revealing specific details about the vaccines Ricky has received and is due to receive.
   
   b.How: ""Ricky has already received his Polio, Tetanus, and Hepatitis B shots and is now due for Hepatitis A, Chickenpox, and Measles shots, with Rubella and Mumps to follow in a couple of weeks.""
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","<BEGIN SUMMARY>
Mrs. Parker brought her young son to Dr. Peters for his scheduled vaccines. Mrs. Parker also mentioned that she may need a booster as her last shot was taken around fifteen years ago.
<END SUMMARY>"
Family and Relationships,"<BEGIN CONVERSATION>
Leon: Why didn't you tell me you had a girlfriend?
Emma: Sorry, I thought you knew.
Leon: But you should tell me you were in love with her.
Emma: Didn't I?
Leon: You know you didn't.
Emma: Well, I am telling you now.
Leon: Yes, but you might have told me before.
Emma: I didn't think you would be interested.
Leon: You can't be serious. How dare you not tell me you are going to marry her?
Emma: Sorry, I didn't think it mattered.
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation about romantic relationships and communication issues
Setting: Family and Relationships
Elements:
	1. Family and Relationships:
		1. family.high.marital_records.partners.status:
			- Emma having a girlfriend and being in love with her
		2. family.high.marital_records.partners.names:
			- Reference to Emma's girlfriend, although name not explicitly mentioned
		3. family.high.marital_records.relationship_history:
			- Mention of Emma's intention to marry her girlfriend

<END METADATA>","<BEGIN SUMMARY>

Leon is upset with Emma for not disclosing her romantic relationship and upcoming marriage to her girlfriend. Despite Emma's belief that Leon would not be interested, Leon feels strongly that such important news should have been shared earlier. 

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Leon is upset with Emma for not disclosing her romantic relationship and upcoming marriage to her girlfriend. Despite Emma's belief that Leon would not be interested, Leon feels strongly that such important news should have been shared earlier. 

<END SUMMARY>"
Social Media,"<BEGIN CONVERSATION>
Malik: Watsup, ladies! Y'll looking'fine tonight. May I have this dance?
Wen: He's cute! He looks like Tiger Woods! But, I can't dance. . .
Malik: It's all good. I'll show you all the right moves. My name's Malik.
Wen: Nice to meet you. I'm Wen, and this is Nikki.
Malik: How you feeling', vista? Mind if I take your friend'round the dance floor?
Wen: She doesn't mind if you don't mind getting your feet stepped on.
<END CONVERSATION>","<BEGIN METADATA>
Context: Conversation at a social gathering/event  
Setting: Generic  
Elements:  
	1. Generic: 
		1.generic.low.demographics.ethnicity:
			- Wen's comment about Malik looking like Tiger Woods
<END METADATA>  ","<BEGIN SUMMARY>

Malik compliments Wen and Nikki and asks Wen to dance, comparing himself to Tiger Woods. Wen is flattered but mentions she can't dance. Malik offers to teach her and introduces himself. Wen introduces herself and her friend Nikki, joking that Nikki wouldn't mind dancing despite likely stepping on Malik's feet.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Malik compliments Wen and Nikki and asks Wen to dance, comparing himself to Tiger Woods. Wen is flattered but mentions she can't dance. Malik offers to teach her and introduces himself. Wen introduces herself and her friend Nikki, joking that Nikki wouldn't mind dancing despite likely stepping on Malik's feet.

<END SUMMARY>"
Travel and Location,"<BEGIN CONVERSATION>
John: Here we come.
Taxi Driver: Thank you. What's the fare?
John: $10.
Taxi Driver: How can it be?
John: Well, the rate is two dollars for the first two kilometers and twenty cents for each additional two hundred meters.
Taxi Driver: I see. Thanks for your drive.
<END CONVERSATION>","<BEGIN METADATA>

Context: Taxi ride fare discussion
Setting: Finances
Elements:
    1. Finances:
        1. finances.high.payment_information:
            - Fare calculation: $10
            - Rate: two dollars for the first two kilometers and twenty cents for each additional two hundred meters
            
<END METADATA>","<BEGIN SUMMARY>

John and a taxi driver discuss the fare for a completed ride. John explains the fare calculation, which includes a base charge and a variable rate depending on the distance traveled. The taxi driver thanks John for the explanation.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

John and a taxi driver discuss the fare for a completed ride. John explains the fare calculation, which includes a base charge and a variable rate depending on the distance traveled. The taxi driver thanks John for the explanation.

<END SUMMARY>"
Employment,"<BEGIN CONVERSATION>
John: Can I help you?
Judy: Yes. I sent in my resume at the end of last week. I'm applying for the accounts assistant position.
John: May I have your name please?
Judy: My name is Judy Liao. That's spelled L I A O.
John: Alright... And did you have some specific questions about your application?
Judy: Not really. I was in the neighborhood, and I just wanted to stop in to see if you received my resume.
John: Oh, that's no problem. Just give me a moment, and I can check. Judy Liao. Let's see... Yes, here it is. Judy Liao. We have received your resume.
Judy: Thank you.
John: Is there anything else I can help you with?
Judy: Yes, maybe. The ad in the newspaper said you wanted the resume, a cover letter, and two letters of recommendation. I included those things in the envelope. Is there anything else I should send?
John: No, that is all we need. If we have those things included, that is sufficient.
Judy: Do you know when they will start setting up interviews for the job?
John: I'm not really sure about that. But I know we are still receiving resumes. Maybe after a week or two they will start calling applicants.
Judy: I see. Well, thank you very much for helping me. You have been very helpful.
John: If you have any further questions, you can call any time.
Judy: Thank you.
<END CONVERSATION>","<BEGIN METADATA>

Context: Inquiry about job application status and interview process.
Setting: Employment
Elements: 
	1. Employment:
		1. employment.medium.professional_references:
        	- ""two letters of recommendation""
        2. employment.medium.employer_information.company_name:
        	- Advertisement mentioned in the newspaper (implies company name)
        3. employment.medium.employer_information.job_title:
        	- ""accounts assistant position""
        4. employment.high.work_history.job_titles:
        	- ""accounts assistant position""
        5. employment.high.credentials.credentials.userid:
        	- ""Judy Liao"" (applicant's name)
        6. employment.high.credentials.credentials:
        	- ""resume""
        	- ""cover letter""

<END METADATA>","<BEGIN SUMMARY>

Judy Liao visited John to verify if her resume for the accounts assistant position was received. John confirmed that her resume, cover letter, and two letters of recommendation were all received. Judy asked if anything else was needed and John assured her that everything was in order. He mentioned that interviews might start in a week or two as they are still collecting resumes.

<END SUMMARY>","<BEGIN VIOLATIONS>
1. employment.high.credentials.credentials.userid:
	a. Why: The specific name of the applicant, Judy Liao, is directly mentioned in the summary. This is identifiable information that should be masked for privacy preservation.
	b. How: ""Judy Liao visited John to verify if her resume for the accounts assistant position was received.""

<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","
<BEGIN SUMMARY>

A job applicant visited an employee to verify if her resume for the accounts assistant position was received. The employee confirmed that her resume, cover letter, and two letters of recommendation were all received. The applicant asked if anything else was needed, and the employee assured her that everything was in order. He mentioned that interviews might start in a week or two as they are still collecting resumes.

<END SUMMARY>"
Employment,"<BEGIN CONVERSATION>
David: This is a good basic computer package. It's got a good CPU, 256 megabytes of RAM, and a DVD player.
Alex: Does it come with a modem?
David: Yes, it has a built-in modem. You just plug a phone line into the back of the computer.
Alex: How about the monitor?
David: A 15 - inch monitor is included in the deal. If you want, you can switch it for a 17 - inch monitor, for a little more money.
Alex: That's okay. A 15 - inch is good enough. All right, I'll take it.
<END CONVERSATION>","<BEGIN METADATA>

Context: In-store conversation regarding the purchase of a computer.
Setting: Generic
Elements: 
	1. Generic: 
		1. generic.low.demographics.language:
        	- English (implied by the conversation being in English)

<END METADATA>","<BEGIN SUMMARY>

David and Alex discuss a computer package, including a good CPU, decent RAM, and a DVD player. David confirms the package includes a built-in modem and a monitor, with an option to upgrade to a larger monitor for additional cost. Alex decides to proceed with the purchase and opts to keep the smaller monitor.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>

Avoid specifications of electronic items, just overly describe them without figues and give a description of the situation.","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

David and Alex discuss a computer package, including a good CPU, decent RAM, and a DVD player. David confirms the package includes a built-in modem and a monitor, with an option to upgrade to a larger monitor for additional cost. Alex decides to proceed with the purchase and opts to keep the smaller monitor.

<END SUMMARY>"
Family and Relationships,"<BEGIN CONVERSATION>
Alice: Could you do me a favor?
Bob: Sure. What is it?
Alice: Could you run over to the store? We need a few things.
Bob: All right. What do you want me to get?
Alice: Well, could you pick up some sugar?
Bob: Okay. How much?
Alice: A small bag. I guess we also need a few oranges.
Bob: How many?
Alice: Oh, let's see. . . About six.
Bob: Anything else?
Alice: Yes. We're out of milk.
Bob: Okay. How much do you want me to get? A gallon?
Alice: No. I think a half gallon will be enough.
Bob: Is that all?
Alice: I think so. Have you got all that?
Bob: Yes. That's small bag of sugar, four oranges, and a half gallon of milk.
Alice: Do you have enough money?
Bob: I think so.
<END CONVERSATION>","<BEGIN METADATA>

Context: Alice asking Bob to run errands for groceries 
Setting: Generic
Elements: 

<END METADATA>","<BEGIN SUMMARY>

Alice asked Bob to run to the store for a few groceries, at which Bob confirmed he had enough money for the purchases.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>

No need to mention specifics of the grocieries, just clu  them under a single term and continue","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

Alice asked Bob to run to the store for a few groceries, at which Bob confirmed he had enough money for the purchases.

<END SUMMARY>"
Family and Relationships,"<BEGIN CONVERSATION>
Rachel: Look! This picture of Mom in her cap and gown.
David: Isn't it lovely! That's when she got her Master's Degree from Miami University.
Rachel: Yes, we are very proud of her.
David: Oh, that's a nice one of all of you together. Do you have the negative? May I have a copy?
Rachel: Surely, I'll have one made for you. You want a print?
David: No. I'd like a slide, I have a new projector.
Rachel: I'd like to see that myself.
David: Have a wallet size print made for me, too.
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation between Rachel and David discussing family photos and academic achievements
Setting: Family and Relationships
Elements:
	1. Family and Relationships:
		1. Family members.names:
			- Mom
	2. Education:
		1. Degree details.degrees_earned:
			- Master's Degree
		2. Degree details.school_attended.name:
			- Miami University

<END METADATA>","<BEGIN SUMMARY>

Rachel and David are looking at a picture of their mother at her Master's Degree graduation from Miami University. David requests a slide and a wallet-sized print of the family picture, mentioning his new projector. Rachel agrees to have them made for him.

<END SUMMARY>","<BEGIN VIOLATIONS>
	1. education.medium.degree_details.school_attended.name:
		a.Why: The name of the school attended for the degree is revealed, which is specific information.
		b.How: ""Rachel and David are looking at a picture of their mother at her Master's Degree graduation from Miami University.""
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","<BEGIN SUMMARY>
Rachel and David are looking at a picture of their mother at her Master's Degree graduation. David requests a slide and a wallet-sized print of the family picture, mentioning his new projector. Rachel agrees to have them made for him.
<END SUMMARY>"
Employment,"<BEGIN CONVERSATION>
Alice: Did Bean send these dirty jokes to you, too? Look!
Brian: What a creep! Phony good luck e-mails are one thing, but sexual harassment is crossing the line.
Alice: No wonder he asked for my address first-he just wants to harass me!
Brian: You could try using a spam filter to reject stuff that's obviously pornographic or anything else you don't want.
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion about inappropriate behavior and harassment  
Setting: Generic  
Elements:  
	1. Generic:  
		1. generic.high.authorization.credentials.userid:  
			- Alice  
			- Brian  
		2. generic.high.government_ids.national_identification_numbers:
			- Alice's address

<END METADATA>","<BEGIN SUMMARY>

Alice and Brian are discussing inappropriate and sexually harassing emails sent by Bean. Alice reveals that Bean asked for her address under false pretenses, clearly intending to harass her. Brian suggests using a spam filter to block such content.

<END SUMMARY>","<BEGIN VIOLATIONS>
1. generic.high.government_ids.national_identification_numbers:
   a. Why: The summary reveals that Bean asked for Alice's address under false pretenses. Exposing such specific personal information can lead to privacy breaches and potential safety risks.
   b. How: ""Alice reveals that Bean asked for her address under false pretenses, clearly intending to harass her.""

Other Violations:
None.
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>","<BEGIN SUMMARY>

Alice and Brian are discussing inappropriate and sexually harassing emails sent by a third party. Alice mentions that this individual asked for her personal information under false pretenses. Brian suggests using a spam filter to block such content.

<END SUMMARY>"
Family and Relationships,"<BEGIN CONVERSATION>
John: How old is Keith?
Carol: He's 21. How old is James?
John: He's a year older than Keith, but he looks younger.
Carol: How's your father?
John: He's fine. He retired last week. It's great going in his life. Now he can relax and enjoy his retirement.
Carol: He can spend more time with his grandchildren.
John: Oh, I don't think he wants to. He wants to travel to several different countries around the world.
Carol: So, he wants to have a more active retirement. Good idea!
John: How do you want to spend your old age?
Carol: In the same way, probably.
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about family members and future plans for old age
Setting: Family and Relationships
Elements:
	1. Family and Relationships:
		1. family members.names:
			- Keith
			- James
		2. family members.relations:
			- Grandfather and grandchildren relationship referenced
		3. family members.number of members:
			- Mention of grandchildren (implies more than one grandchild)
		4. Demographics.Date of Birth:
			- Keith's age: 21
			- James's age: 22 (a year older than Keith)
		
	2. Employment:
		1. high.employment_status:
			- John's father's recent retirement

	3. Travel and Location:
		1. high.travel_history.detailed_itineraries:
			- John's father's plan to travel to several different countries around the world

<END METADATA>","<BEGIN SUMMARY>

John and Carol discuss the ages of their sons, noting how one looks younger than the other despite being older. They then talk about John's father's recent retirement and his plans to travel the world. Carol comments on the idea of having an active retirement, and they both reflect on how they might like to spend their own old age. 

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>","<BEGIN SUMMARY>

John and Carol discuss the ages of their sons, noting how one looks younger than the other despite being older. They then talk about John's father's recent retirement and his plans to travel the world. Carol comments on the idea of having an active retirement, and they both reflect on how they might like to spend their own old age. 

<END SUMMARY>"
